# Graph
Day	All Visits	Unique Visitors
Wednesday, April 04, 2012	6	1
Wednesday, April 04, 2012	6	1
Saturday, April 07, 2012	24	1
Thursday, April 12, 2012	34	1
Friday, April 13, 2012	19	1
Thursday, April 19, 2012	5	1
Friday, April 20, 2012	3	1
Saturday, April 21, 2012	8	1
Monday, April 23, 2012	10	1
Wednesday, April 25, 2012	5	1
Thursday, April 26, 2012	25	1
Thursday, May 03, 2012	1	1
Friday, May 04, 2012	3	1
Saturday, May 12, 2012	3	1
Monday, May 14, 2012	314	1
Tuesday, May 15, 2012	3	1
Friday, May 18, 2012	9	1
Wednesday, May 23, 2012	21	1
Thursday, May 24, 2012	11	1
Monday, May 28, 2012	1	1
Monday, June 04, 2012	1	1
Tuesday, June 05, 2012	27	5
